date,open,high,low,close,volume
2026-04-21,7122.64,7137.27,7050.2,7064.01,5160270000
2026-04-22,7102.91,7138.64,7102.91,7137.9,4919460000
2026-04-23,7118.8,7147.78,7046.55,7108.4,5307260000
2026-04-24,7136.48,7168.59,7112.82,7165.08,4608830000
2026-04-27,7152.72,7178.74,7146.72,7173.91,4783750000
2026-04-28,7133.74,7152.52,7115.17,7138.8,4900650000
2026-04-29,7131.61,7145.63,7107.86,7135.95,5123100000
2026-04-30,7161.75,7219.83,7126.15,7209.01,5723790000
2026-05-01,7234.54,7272.52,7229.32,7230.12,4847390000
2026-05-04,7228.38,7244.54,7174.12,7200.75,5215480000
2026-05-05,7233.62,7273.26,7233.62,7259.22,5279760000
2026-05-06,7294.14,7369.22,7294.14,7365.12,6579640000
2026-05-07,7376.78,7385.02,7321.25,7337.11,6237040000
2026-05-08,7362.97,7401.5,7362.97,7398.93,5302740000
2026-05-11,7385.31,7428.97,7384.2,7412.84,5821910000
2026-05-12,7390.63,7409.57,7338.54,7400.96,5624790000
2026-05-13,7409.12,7460.04,7375.13,7444.25,5716600000
2026-05-14,7454.4,7517.12,7454.4,7501.24,5267050000
2026-05-15,7445.11,7454.85,7397.5,7408.5,5582070000
2026-05-18,7415.07,7434.06,7353.17,7403.05,5489500000
2026-05-19,7375.75,7395.32,7333.68,7353.61,5441140000
2026-05-20,7369.19,7435.69,7357.46,7432.97,5384150000
2026-05-21,7410.78,7465.96,7389.48,7445.72,5440620000
2026-05-22,7468.82,7506.32,7463.29,7473.47,4952440000
2026-05-26,7511.79,7539.09,7501.1,7519.12,5496060000
2026-05-27,7526.01,7530.72,7499.72,7520.36,5524250000
2026-05-28,7519.82,7568.72,7508.04,7563.63,5494860000
2026-05-29,7579.33,7599.38,7563.55,7580.06,7858290000
2026-06-01,7582.29,7617.66,7562.61,7599.96,6583960000
2026-06-02,7595.4,7620.9,7582.99,7609.78,5904410000
2026-06-03,7605.31,7605.35,7551.22,7553.68,5753860000
2026-06-04,7516.54,7598.19,7516.54,7584.31,5398910000
2026-06-05,7537.36,7541.81,7368.63,7383.74,5591290000
2026-06-08,7440.57,7466.81,7395.13,7405.73,4898180000
2026-06-09,7438.66,7483.15,7237.85,7386.65,6006390000
2026-06-10,7350.54,7396.56,7265.93,7266.99,5247300000
2026-06-11,7287.67,7412.68,7257.33,7394.3,5658920000
2026-06-12,7410.85,7456.4,7363.01,7431.46,4950530000
2026-06-15,7516.75,7577.92,7516.75,7554.29,5674670000
2026-06-16,7548.78,7564.96,7508.68,7511.35,5286210000
2026-06-17,7524.5,7532.17,7402.61,7420.1,5883740000
2026-06-18,7487.36,7511.07,7468.32,7500.58,9061110000
2026-06-22,7500.44,7530.01,7460.01,7472.79,5976740000
2026-06-23,7366.51,7424.17,7347.6,7365.46,5640530000
2026-06-24,7370.88,7428.06,7336.82,7358.22,5994860000
